③  「その他」では、経常収益はクレジットカード業務において売上高が増加したことなどから前年度と比べ35百万円増加して4,147百万円となりました	1
しかしながら収益的には輸出市況の低迷等の影響をカバーできず、増収ながらも若干の減益となりました	0
こうした中、当社グループ販売強化項目の一つである「特定市場」を中心に市場開拓を行うとともに中国をはじめとする代理店網の強化策などに積極的に取り組んでまいりましたが、外部顧客向売上高は現地通貨ベースで前年同期比2.2%減となりました	0
保険金等支払金は、3,724億円（同2.5％増）となりました	0
また、運営現場の効率化により、業務時間の大幅な短縮を図るなど運営コスト削減に努めた結果、収益を大きく改善することができました	1
売上収益は、抗がん剤「レンビマ」(欧州における腎細胞がんに係る製品名「Kisplyx」)および抗てんかん剤「フィコンパ」(英名「Fycompa」)が拡大するとともに、新たに連結子会社となったEAファーマ株式会社の貢献があった一方、日本における薬価改定や為替の影響により、全体では5,390億97百万円(前期比1.6％減)となりました	1
また、良好な調達環境により引き続き金融費用が減少いたしました	1
医療用プローブケーブルは、海外向けの需要が減少し、前年同期を下回りました	0
当連結会計年度の世界経済は、米国を中心に景気は概ね堅調に推移しましたが、英国のEU離脱問題による影響のほか、中国をはじめとする新興国経済の減速懸念や米国新政権の政策動向の不確実性など、景気の先行きは不透明な状況が続きました	1
このような厳しい経営環境の中で、中間期は減収減益を余儀なくされましたが、通期では中国向け環境用水質分析計をはじめとする海外輸出の大幅な増進に加えて、医療関連機器を含む計測機器事業全般が回復し増収となりました	1
しかしながら、新設住宅着工戸数の押し上げ要因が主に貸家であることから一棟当たりの石膏ボード使用量が伸び悩むという一面も窺われました	0
神根サイボー㈱のインテリア施工事業は、当社が賃貸する大型商業施設の店舗入替えに伴う内装工事等を受注し、増収増益となりました	1
このような状況の下、当社グループは、販売戦略の要である「テキスタイル・プロジェクト」において、在庫の適正化や素材企画力を活かした売れ筋商品の開発、グループ会社との合同展示会開催などによる販売強化に努めたものの、川下にあたるアパレル市況の低迷により、業績改善には至りませんでした	0
電子部品業界では、既存技術応用分野及び新規市場の開拓に注力しましたが、前期好調に推移したスマートフォン向け圧電部品の製造用装置の反動減により、受注・売上ともに前年同期に対して減少となりました	0
自販機分野は、国内市場の業界再編及び国内飲料メーカーの投資抑制に伴う需要減少、中国市場においては、顧客開拓は進むものの、設置計画の見直し等が影響し、売上高、営業損益ともに前連結会計年度を下回りました	0
新契約年換算保険料も、定期保険および米ドル建保険の販売が好調であったものの、変額保険および一時払終身保険の販売減少により、781億円（同8.1％減）となりました	0
床用塗料においては、連結子会社の阿童木（無錫）塗料有限公司の清算による売上減少と当社の主力となる改修市場での設備投資物件の減少により前年を下回りました	0
営業利益以下、各区分利益は、前年同期と比較して減少し、損失を計上いたしました	0
一方で、マスマーケットへ向けたオリジナルブランドの「ケンフォード」につきましては、品質や価格のバランスが評価され、取扱店舗数も順調に増加したことなどにより、好調に推移いたしました	1
